"TrialNo","Filename","Level","Key","StartNote","HeardArr","HeardRange","ProbeNo","ProbeNote_inscale","ProbePrev","LowProbe","ProbeAcc","ProbeProb","ProbeProb_nostart","Last_Heard","Binom_StartNote_probeprob","Actual_StartNote_probeprob","Binom_LastHrd_probeprob","Actual_LastHrd_probeprob","Diff_LastHrd_Probe","ProbeNote_1","ProbeNote_1or5","AbsDiff_TrueIm_Probe","Direction_Same","Diff_LastHrd_TrueIm","TrueImagined_inscale","TrueIm_1or_5","guessing","discrimination","difficulty","inattention"
61,"1_3_2_1_0000_1_1",1,2,1,3,4,-4,-4,0,1,"1",0.0625,0.1,-3,0.00390625,0.158055556,0.205078125,0.368055556,1,0,0,0,1,1,-4,0,0.4,1.1284034825656,-0.493979391601574,0.97
62,"1_3_2_1_0000_2_0",1,2,1,3,4,-3,-5,0,1,"0",0,0,-3,0.03125,0.228611111,0.24609375,0.22,0,0,1,1,0,1,-4,0,0.4,1.1284034825656,1.84900190700532,0.97
63,"1_3_2_1_0001_2_0",1,2,1,3,4,-3,-5,0,1,"0",0,0,-3,0.03125,0.228611111,0.24609375,0.22,0,0,1,1,0,1,-6,0,0.4,1.1284034825656,1.84900190700532,0.97
64,"1_3_2_1_0001_3_1",1,2,1,3,4,-2,-6,0,1,"1",0.25,0.4,-3,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,-6,0,0.4,1.1284034825656,-0.493979391601574,0.97
65,"1_3_2_1_0010_3_1",1,2,1,3,3,-2,-6,0,1,"1",0.25,0.4,-1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,-6,0,0.4,1.1284034825656,-0.354560139500318,0.97
66,"1_3_2_1_0010_4_0",1,2,1,3,3,-1,-7,0,1,"0",0,0,-1,0.21875,0.326388889,0.24609375,0.22,0,0,0,1,0,1,-6,0,0.4,1.1284034825656,1.35893926277763,0.97
67,"1_3_2_1_0100_2_0",1,2,1,3,2,-3,-5,1,0,"0",0,0,-1,0.03125,0.228611111,0.1171875,0.248611111,2,0,1,1,1,1,-6,0,0.4,1.1284034825656,0.863107610045587,0.97
68,"1_3_2_1_0100_3_1",1,2,1,3,2,-2,-6,0,1,"1",0.25,0.4,-1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,-6,0,0.4,1.1284034825656,-0.215140887399062,0.97
69,"1_3_2_1_0111_6_0",1,2,1,3,3,1,2,0,0,"0",0,0,1,0.21875,0.326388889,0.24609375,0.22,0,0,0,1,0,1,3,0,0.4,1.1284034825656,1.35893926277763,0.97
70,"1_3_2_1_0111_7_1",1,2,1,3,3,2,3,0,0,"1",0.25,0.4,1,0.109375,0.286944444,0.205078125,0.368055556,1,0,0,0,1,1,3,0,0.4,1.1284034825656,-0.354560139500318,0.97
